backend,model_label,requested_model,condition,condition_label,prompt_language,cultural_identity,variant,x_survival_self_expression,y_traditional_secular,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,0,0.9244413741934581,0.20542237679145492,2,2,1,1,7,7.0,5.0,2,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,1,1.5354595856246214,-0.6218515990660942,2,2,1,1,7,8.0,5.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,2,1.4866136074512337,0.5057155045206478,2,2,1,1,7,8.0,6.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,3,1.1288318384364553,-0.8751478723084001,2,2,1,1,7,7.0,5.0,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,4,1.5256405760666416,-0.5691670131105064,2,2,1,1,7,7.0,6.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,5,1.2843763245060649,-0.828151017821513,2,2,1,1,7,7.0,6.0,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,6,0.9244413741934581,0.20542237679145492,2,2,1,1,7,7.0,5.0,2,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,7,1.1288318384364553,-0.8751478723084001,2,2,1,1,7,7.0,5.0,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,8,1.5354595856246214,-0.6218515990660942,2,2,1,1,7,8.0,5.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,9,1.5354595856246214,-0.6218515990660942,2,2,1,1,7,8.0,5.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,0.7464820207174012,-1.0321193129814927,2,2,1,1,10,7.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,0.7074550521019936,0.0427632046496616,2,2,1,1,10,8.0,3.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,0.9118455163449907,-1.0378070444501934,2,2,1,1,10,8.0,3.0,1,1,1
