entity,entity_type,model_version,reference_entity,x_survival_self_expression,y_traditional_secular,n_raw,n_complete,ci95_x_low,ci95_x_high,ci95_y_low,ci95_y_high,source,notes
Albania,country_human,,,-0.533489232518284,0.157052699651172,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Algeria,country_human,,,-0.868321434253793,-0.283706229694584,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Andorra,country_human,,,2.42805975186291,0.251225274327279,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Azerbaijan,country_human,,,-0.76363340765293,-0.167296306416771,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Argentina,country_human,,,0.627506395813807,-0.320123473050123,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Australia,country_human,,,2.47425197913858,-0.40310654107989,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Austria,country_human,,,1.83050520232772,0.230906038823846,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Bangladesh,country_human,,,-0.85528585691159,-1.11107463690094,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Armenia,country_human,,,-0.780988677962408,-0.297261875166407,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Belgium,country_human,,,1.84656820997246,-0.123709141816506,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Bolivia,country_human,,,-0.491226965471248,-0.892924417603018,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Bosnia Herzegovina,country_human,,,-0.350873752790966,0.378663460201368,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Brazil,country_human,,,-0.036639146527267,-0.37645307565277,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Bulgaria,country_human,,,0.102375272485014,1.1068098100644,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Myanmar,country_human,,,-1.04973778886766,-0.435016452775785,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Belarus,country_human,,,-0.0038689476070312,0.463454236379061,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Canada,country_human,,,2.25889562272122,-0.345999877641946,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Chile,country_human,,,0.269020318006045,-0.0879810276274666,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
China,country_human,,,0.393785448002962,0.769015350827346,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Taiwan ROC,country_human,,,0.266817484943705,1.5512811153428,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Colombia,country_human,,,-0.149032526541798,-1.52040750319444,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
