model_label,intervention_condition,intervention_label,reference,baseline_distance_pt_default,prompted_distance,absolute_change_prompt_minus_baseline,relative_change_percent
Sabiá-4,pt_brazil,3 — Identidade brasileira,Brasil,1.6101897118006163,1.3513269655291569,-0.25886274627145944,-16.076537092140697
Sabiá-4,pt_brazil,3 — Identidade brasileira,Argentina,0.9683955053027494,0.7860772949618844,-0.18231821034086504,-18.826833596658105
Sabiá-4,pt_brazil,3 — Identidade brasileira,Uruguai,0.4035669295674569,0.3786326851332606,-0.024934244434196284,-6.1784657283293285
Sabiá-4,pt_brazil,3 — Identidade brasileira,Rio Grande do Sul,1.621588486716161,1.5524269411077614,-0.0691615456083996,-4.265049127751082
Sabiá-4,pt_rs,4 — Identidade gaúcha,Brasil,1.6101897118006163,2.311521560557356,0.7013318487567397,43.55585205997037
Sabiá-4,pt_rs,4 — Identidade gaúcha,Argentina,0.9683955053027494,1.879452356490102,0.9110568511873526,94.07900451815179
Sabiá-4,pt_rs,4 — Identidade gaúcha,Uruguai,0.4035669295674569,1.4940664826880254,1.0904995531205686,270.2152910025026
Sabiá-4,pt_rs,4 — Identidade gaúcha,Rio Grande do Sul,1.621588486716161,2.672544906257919,1.0509564195417582,64.81030348643041
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,Brasil,1.709862860827675,0.7517092057463547,-0.9581536550813202,-56.03687155457117
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,Argentina,1.1224154978087741,0.12654928788064987,-0.9958662099281242,-88.72527258152577
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,Uruguai,0.8912220704980783,0.4702510964532203,-0.42097097404485806,-47.23525011107384
Claude Sonnet 5,pt_brazil,3 — Identidade brasileira,Rio Grande do Sul,1.2182693342232673,0.925796779933035,-0.29247255429023233,-24.0072163087569
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,Brasil,1.709862860827675,0.9893670901362587,-0.7204957706914162,-42.13763496463415
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,Argentina,1.1224154978087741,0.7118024640015546,-0.4106130338072196,-36.582979708390994
Claude Sonnet 5,pt_rs,4 — Identidade gaúcha,Uruguai,0.8912220704980783,0.7603010773452472,-0.13092099315283112,-14.690052848406587
