backend,model_label,requested_model,condition,condition_label,prompt_language,cultural_identity,variant,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,0,2,2,1,1,7,7,5,2,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,1,2,2,1,1,7,8,5,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,2,2,2,1,1,7,8,6,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,3,2,2,1,1,7,7,5,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,4,2,2,1,1,7,7,6,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,5,2,2,1,1,7,7,6,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,6,2,2,1,1,7,7,5,2,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,7,2,2,1,1,7,7,5,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,8,2,2,1,1,7,8,5,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,en_default,Inglês,en,none,9,2,2,1,1,7,8,5,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,2,2,1,1,10,7,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,2,2,1,1,10,8,3,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,2,2,1,1,10,8,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,2,2,1,1,10,5,3,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,2,2,1,1,10,8,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,2,2,1,1,10,8,4,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,2,2,1,2,10,7,3,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,2,2,1,1,10,7,3,1,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,2,2,1,1,10,8,3,2,1,2
