modelo,cond,semente,grupo,geracao,massa_cauda,n_tokens
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,0,0.1486,222
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,1,0.16,200
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,2,0.1643,207
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,3,0.1618,204
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,4,0.1869,198
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,5,0.1542,214
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,6,0.1893,206
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,7,0.1589,214
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,8,0.1643,213
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,9,0.1538,208
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,10,0.1724,203
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,11,0.1587,208
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,12,0.1667,216
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,13,0.1469,211
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,14,0.1469,211
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,15,0.1517,211
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,0,0.285,193
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,1,0.3222,180
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,2,0.3017,179
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,3,0.3143,175
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,4,0.3257,175
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,5,0.3121,173
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,6,0.3198,172
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,7,0.3275,171
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,8,0.3103,174
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,9,0.2948,173
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,10,0.3179,173
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,11,0.3121,173
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,12,0.3333,174
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,13,0.3506,174
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,14,0.3488,172
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,15,0.3373,169
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,0,0.1855,248
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,1,0.2033,241
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,2,0.195,241
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,3,0.2051,234
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,4,0.214,229
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,5,0.2165,231
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,6,0.1855,248
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,7,0.2068,237
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,8,0.2017,238
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,9,0.1825,263
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,10,0.2,250
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,11,0.214,243
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,12,0.205,239
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,13,0.2116,241
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,14,0.1983,242
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,15,0.2185,238
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,0,0.1486,222
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,1,0.165,200
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,2,0.149,208
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,3,0.1478,203
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,4,0.1442,208
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,5,0.1449,207
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,6,0.1449,207
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,7,0.1564,211
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,8,0.149,208
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,9,0.1476,210
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,10,0.1549,213
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,11,0.1455,213
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,12,0.1485,202
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,13,0.1538,208
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,14,0.1275,204
anthropic-claude-sonnet-5,en-C2,controle-en-01-gatsby,controle-en,15,0.1493,201
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,0,0.285,193
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,1,0.3209,187
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,2,0.1667,96
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,3,0.2174,92
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,4,0.2083,96
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,5,0.2316,95
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,6,0.2292,96
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,7,0.2421,95
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,8,0.2188,96
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,9,0.2421,95
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,10,0.2371,97
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,11,0.2632,95
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,12,0.2474,97
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,13,0.25,96
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,14,0.2234,94
anthropic-claude-sonnet-5,en-C2,controle-en-02-babbitt,controle-en,15,0.2366,93
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,0,0.1855,248
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,1,0.1875,256
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,2,0.1875,256
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,3,0.1932,264
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,4,0.1962,260
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,5,0.1992,256
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,6,0.2055,253
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,7,0.2016,253
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,8,0.2016,253
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,9,0.2016,253
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,10,0.2016,253
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,11,0.2008,254
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,12,0.1947,262
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,13,0.1969,259
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,14,0.1984,257
anthropic-claude-sonnet-5,en-C2,controle-en-03-lost-lady,controle-en,15,0.1984,257
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,0,0.2059,204
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,1,0.2105,209
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,2,0.216,213
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,3,0.2153,209
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,4,0.2143,210
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,5,0.2143,210
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,6,0.2217,212
anthropic-claude-sonnet-5,pt-C1,controle-pt-01-policarpo-abertura,controle-pt,7,0.2133,211
