modelo,cond,semente,grupo,geracao,regionais_vivos,controles_vivos,n_reg_base,n_ctl_base
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,0,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,1,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,2,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,3,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,4,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,5,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,6,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,7,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,8,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,9,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,10,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,11,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,12,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,13,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,14,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-01-gatsby,controle-en,15,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,0,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,1,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,2,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,3,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,4,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,5,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,6,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,7,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,8,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,9,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,10,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,11,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,12,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,13,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,14,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-02-babbitt,controle-en,15,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,0,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,1,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,2,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,3,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,4,0,0,0,0
anthropic-claude-sonnet-5,en-C1,controle-en-03-lost-lady,controle-en,5,0,0,0,0
