regionalismo,freq_corpus,controle_proposto,freq_controle,status
abombado,1,acochava,1,pareado por frequência no corpus-semente; curadoria na medição
acolherar,2,coronilha,2,pareado por frequência no corpus-semente; curadoria na medição
aguada,1,aberta,1,pareado por frequência no corpus-semente; curadoria na medição
aperado,2,abertas,2,pareado por frequência no corpus-semente; curadoria na medição
apurado,1,adiante,1,pareado por frequência no corpus-semente; curadoria na medição
aruá,1,alma,1,pareado por frequência no corpus-semente; curadoria na medição
baio,1,angu,1,pareado por frequência no corpus-semente; curadoria na medição
banhado,1,afundou,1,pareado por frequência no corpus-semente; curadoria na medição
barranca,1,agachada,1,pareado por frequência no corpus-semente; curadoria na medição
boleadeiras,1,aboletou-se,1,pareado por frequência no corpus-semente; curadoria na medição
bolear,1,afinal,1,pareado por frequência no corpus-semente; curadoria na medição
boliche,1,ajustar,1,pareado por frequência no corpus-semente; curadoria na medição
bombacha,1,agregado,1,pareado por frequência no corpus-semente; curadoria na medição
brasino,1,alminha,1,pareado por frequência no corpus-semente; curadoria na medição
campeiro,1,aliviado,1,pareado por frequência no corpus-semente; curadoria na medição
cancha,4,senhor,4,pareado por frequência no corpus-semente; curadoria na medição
cancheiro,1,bonifácio,1,pareado por frequência no corpus-semente; curadoria na medição
canhada,1,andando,1,pareado por frequência no corpus-semente; curadoria na medição
capincho,1,apertava,1,pareado por frequência no corpus-semente; curadoria na medição
cara-volta,1,afrouxando,1,pareado por frequência no corpus-semente; curadoria na medição
carnear,0,antônio,1,pareado por frequência no corpus-semente; curadoria na medição
carona,3,andava,3,pareado por frequência no corpus-semente; curadoria na medição
china,2,algum,2,pareado por frequência no corpus-semente; curadoria na medição
chiripá,1,apanhou,1,pareado por frequência no corpus-semente; curadoria na medição
chiru,1,abreu,1,pareado por frequência no corpus-semente; curadoria na medição
chê,2,caiu,2,pareado por frequência no corpus-semente; curadoria na medição
coxilha,1,apontou,1,pareado por frequência no corpus-semente; curadoria na medição
culo,2,cova,2,pareado por frequência no corpus-semente; curadoria na medição
cusco,1,achou,1,pareado por frequência no corpus-semente; curadoria na medição
despilchado,1,acampamento,1,pareado por frequência no corpus-semente; curadoria na medição
estância,3,arreios,3,pareado por frequência no corpus-semente; curadoria na medição
gambeta,1,aprumou,1,pareado por frequência no corpus-semente; curadoria na medição
garrão,1,alguém,1,pareado por frequência no corpus-semente; curadoria na medição
gauchada,1,arejando,1,pareado por frequência no corpus-semente; curadoria na medição
guaiaca,2,chamada,2,pareado por frequência no corpus-semente; curadoria na medição
guasca,1,alçada,1,pareado por frequência no corpus-semente; curadoria na medição
guri,2,duas,2,pareado por frequência no corpus-semente; curadoria na medição
indiada,1,atirava,1,pareado por frequência no corpus-semente; curadoria na medição
lobuno,1,amargo,1,pareado por frequência no corpus-semente; curadoria na medição
lombeira,1,arranhão,1,pareado por frequência no corpus-semente; curadoria na medição
lombilho,1,arvoredo,1,pareado por frequência no corpus-semente; curadoria na medição
manotear,1,atracado,1,pareado por frequência no corpus-semente; curadoria na medição
mate,2,fumo,2,pareado por frequência no corpus-semente; curadoria na medição
matear,1,animal,1,pareado por frequência no corpus-semente; curadoria na medição
maula,1,aguar,1,pareado por frequência no corpus-semente; curadoria na medição
milongueiro,1,atravessada,1,pareado por frequência no corpus-semente; curadoria na medição
morocha,2,começou,2,pareado por frequência no corpus-semente; curadoria na medição
morrudo,2,daquela,2,pareado por frequência no corpus-semente; curadoria na medição
nhandu,3,cabeça,3,pareado por frequência no corpus-semente; curadoria na medição
orelhana,1,atrevido,1,pareado por frequência no corpus-semente; curadoria na medição
pagos,1,andei,1,pareado por frequência no corpus-semente; curadoria na medição
paisano,1,barriga,1,pareado por frequência no corpus-semente; curadoria na medição
pampa,1,apojo,1,pareado por frequência no corpus-semente; curadoria na medição
parelheiro,1,aquentando,1,pareado por frequência no corpus-semente; curadoria na medição
pelego,1,apenas,1,pareado por frequência no corpus-semente; curadoria na medição
peleia,2,brasas,2,pareado por frequência no corpus-semente; curadoria na medição
picaço,2,campos,2,pareado por frequência no corpus-semente; curadoria na medição
piguancha,1,cabeceira,1,pareado por frequência no corpus-semente; curadoria na medição
pitar,1,areão,1,pareado por frequência no corpus-semente; curadoria na medição
piá,1,anjo,1,pareado por frequência no corpus-semente; curadoria na medição
porongo,1,barulho,1,pareado por frequência no corpus-semente; curadoria na medição
